RT_M_0SALARYTY_TEXT,,,,Projection 1,,,,,LT_M_0SALARYTY_TEXT,,,,
Connection Name,EC3,,,,,,,,,,,,
Data Source Name,0SALARYTY_TEXT,,,,,,,,,,,,
,,,,,,,,,,,,,
Business Name,Technical Name,Data Type,,Label,Columns,Calculated Columns,,,Business Name,Technical Name,Data Type,Key,Text/Association
Country Grouping,MOLGA,String(2),,Projection 1,MOLGA,,,,Country Grouping,MOLGA,String(2),,
Pay scale type,TRFAR,String(2),,,TRFAR,,,,Pay scale type,TRFAR,String(2),x,TXTSH
Name of pay scale type (Basic Pay infotype),TXTSH,String(20),,,TXTSH,,,,Name of pay scale type (Basic Pay infotype),TXTSH,String(20),,
,,,,,,CC_LANGU,,,Language,LANGU,String(1),x,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source,,,,Projection,,,,,Target,,,,
